联系方式,#genre#
QQ群,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
418118493,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
当前源时间,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
04-24 22:41,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
最新源时间,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
04-24 22:04,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
APP重启更新源,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
当前源版本V2,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
最新源版本V2,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0YWM3aC9qSGhTc0dnPT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
央视IPV4,#genre#
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnovZjVtWExmNWNON05MSEtKVS9OeDN1TWEzTEhEOHBQYWJHemRyRm1rbjgxSXlFWWc0SWJkZzRsT1c4a0t0a2N2eHR6WnJiTlhnUUpxUk1wYjg1eG1laUV0dWN1MDVwbGc9/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3ZjQXR3eXVjUzZBeWphdFBVNU9vZlpHVFZHclNrM0hqL3lYZTFYNjRCMHl6MEpFVnNOL3VxUnpPU3JocmpQck1wNTJJSElkTUM4MHVGMnVJekJ5bkZh/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/VEEvVEQxMU50SHhQN2g2ejg1SHI4VWNnd3l2Q2t6Y1dqWXB1ZTdQRzNEbno1MkVCQjd1WnVZbGR1RjZKZTVLVU9qK0JyeWdnNFhBOFl0S01mV0pRdUplaGkzRkFkNkpScHpyZlBHQnQ0aTdVY1FXZ1ZUaXpTUT09/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/TENuMHlKbWU3Zno1ZEpWQ0dRc0tzZ3J2QjV2YjgxMDU4VDQ5YTY4WWFnTTNDR2dDZGV5emoyV1haNjVzMmhDbDN0VHhoQ3RLUmVJPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/YzkyR0Q2U2FIczVMY2psZG9qdmw4V3VQeE1LdUwxTklwRENYY045VW8wSjhUM2ptaStTQ3dXRStXWWRENE5QdGJzeE8zSGlIUUp3PQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3RaUSt6Y2p4OUYyWkd1L2x1elFPVmxscnM4SjhSODdsMmVEZjRtWS9memMydmpuRVJsM0NRYUlZV2N0K2NUckJFWVQwN00vRERMdXNsd01UR3hhWFpL/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/TENuMHlKbWU3Zno3MmI5bjdnY1JFT09DSk5NQjllbWVaSjhaTmUzWlovajQwNllwMjZ6ditXMjZkR0ZzejhWYXdmU2lvbDU3RUZJPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnpDZk5JM05PM1JOLzJuaHVZWUVnV2dSUnZuTEdEVCtwRW1ua0FIeGErbjZqYkxON29Nc3o5djAyVTlVazd6bFU0PQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
